ell,PP,PT,PE
2.370000000000000000e+02,4.617792049013675242e-08,1.040309525525136920e-04,1.471419563611680799e-07
2.380000000000000000e+02,4.597397008746836989e-08,1.031903138912563367e-04,1.603174361682646158e-07
2.390000000000000000e+02,4.577152326090095561e-08,1.023571934084457083e-04,1.734877570435208077e-07
2.400000000000000000e+02,4.557055128831401166e-08,1.015315483982237512e-04,1.866535436466663059e-07
2.410000000000000000e+02,4.537103100538831048e-08,1.007133727401836852e-04,1.998154790991697804e-07
2.420000000000000000e+02,4.517295536761217913e-08,9.990264810210545032e-05,2.129742274585050899e-07
2.430000000000000000e+02,4.497630119612454163e-08,9.909934442302297398e-05,2.261304259199114044e-07
2.440000000000000000e+02,4.478106129353214621e-08,9.830346697123283801e-05,2.392847904239324404e-07
2.450000000000000000e+02,4.458719665230388807e-08,9.751496250755038871e-05,2.524378997685880659e-07
2.460000000000000000e+02,4.439471062845861152e-08,9.673384768701156480e-05,2.655905027883186408e-07
2.470000000000000000e+02,4.420356963201686445e-08,9.596009258871812837e-05,2.787432348505107571e-07
2.480000000000000000e+02,4.401376637031551652e-08,9.519366767117749557e-05,2.918967250221691202e-07
2.490000000000000000e+02,4.382527782893343074e-08,9.443455495363419134e-05,3.050516322168638199e-07
2.500000000000000000e+02,4.363808624704785055e-08,9.368274756335131191e-05,3.182086529928334918e-07
2.510000000000000000e+02,4.345218543747934225e-08,9.293821697900999214e-05,3.313680319280556585e-07
2.520000000000000000e+02,4.326754350746898346e-08,9.220081635425724279e-05,3.445280647475322983e-07
2.530000000000000000e+02,4.308417097076555990e-08,9.147041077671268358e-05,3.576867038754009012e-07
2.540000000000000000e+02,4.290203740591071962e-08,9.074683274770393884e-05,3.708417763282189021e-07
2.550000000000000000e+02,4.272115316035300003e-08,9.002996881728396710e-05,3.839913243747642461e-07
2.560000000000000000e+02,4.254148798959519976e-08,8.931964102791118906e-05,3.971331267863762500e-07
2.570000000000000000e+02,4.236304205501373813e-08,8.861572495966848660e-05,4.102651869377546636e-07
2.580000000000000000e+02,4.218581535266560398e-08,8.791807470635974481e-05,4.233854204861039935e-07
2.590000000000000000e+02,4.200977789903097841e-08,8.722653404547060102e-05,4.364916915281933935e-07
2.600000000000000000e+02,4.183493963544825373e-08,8.654096761472526429e-05,4.495819646919375721e-07
2.610000000000000000e+02,4.166127074945849555e-08,8.586121939382130349e-05,4.626541013092758469e-07
2.620000000000000000e+02,4.148878102371442260e-08,8.518716399386749979e-05,4.757061258351631983e-07
2.630000000000000000e+02,4.131744081452247274e-08,8.451861530125904674e-05,4.887357276732929161e-07
2.640000000000000000e+02,4.114725001157298278e-08,8.385546799939988343e-05,5.017410474673797881e-07
2.650000000000000000e+02,4.097819865014256229e-08,8.319754650185315369e-05,5.147198236014081486e-07
2.660000000000000000e+02,4.081028159680545155e-08,8.254472509606976304e-05,5.276700888956934691e-07
2.670000000000000000e+02,4.064347921544511236e-08,8.189685805263467169e-05,5.405897604470853523e-07
2.680000000000000000e+02,4.047778639770959475e-08,8.125379002910280914e-05,5.534766898742552200e-07
2.690000000000000000e+02,4.031318364921304175e-08,8.061537556059241751e-05,5.663287899618691387e-07
2.700000000000000000e+02,4.014968013766530966e-08,7.998147867937699840e-05,5.791440423019644742e-07
2.710000000000000000e+02,3.998724687146893953e-08,7.935193491303703557e-05,5.919202241772778427e-07
2.720000000000000000e+02,3.982588344396310236e-08,7.872661773238399453e-05,6.046553876360037523e-07
2.730000000000000000e+02,3.966559399285670207e-08,7.810538151247693630e-05,6.173474505654253762e-07
2.740000000000000000e+02,3.950633100506523004e-08,7.748805308493040027e-05,6.299941068851586518e-07
2.750000000000000000e+02,3.934811741839891589e-08,7.687453308433873944e-05,6.425936421717705675e-07
2.760000000000000000e+02,3.919093390781597712e-08,7.626463933131228366e-05,6.551436729041714684e-07
2.770000000000000000e+02,3.903476129906767164e-08,7.565823566825734248e-05,6.676421876503012938e-07
2.780000000000000000e+02,3.887960357452480990e-08,7.505517676445704045e-05,6.800871004141800124e-07
2.790000000000000000e+02,3.872544158245641191e-08,7.445532613111623089e-05,6.924764074330918705e-07
2.800000000000000000e+02,3.857226088383284924e-08,7.385852073755547610e-05,7.048078602077445072e-07
2.810000000000000000e+02,3.842006985093142442e-08,7.326463288013490408e-05,7.170795387763836012e-07
2.820000000000000000e+02,3.826884033390826791e-08,7.267350845446768424e-05,7.292892755003953063e-07
2.830000000000000000e+02,3.811857605439813926e-08,7.208500219733286318e-05,7.414349849635091523e-07
2.840000000000000000e+02,3.796924906219401356e-08,7.149896885824382148e-05,7.535145818615361861e-07
