ell,TT,EE,BB,TE
1.640000000000000000e+02,3.957075157375181334e+03,8.435923461032935888e-01,8.642972429580448104e-03,-3.488891765518652477e+01
1.650000000000000000e+02,3.982509377828354900e+03,8.350108629500687663e-01,8.759981283489415987e-03,-3.459555762782646582e+01
1.660000000000000000e+02,4.007695062221723219e+03,8.262862145202185538e-01,8.877967215692412345e-03,-3.427821804360966240e+01
1.670000000000000000e+02,4.032624753530821636e+03,8.174408911812346412e-01,8.996928814312250833e-03,-3.393677130620398685e+01
1.680000000000000000e+02,4.057290998043308264e+03,8.084973788210200185e-01,9.116864250983821097e-03,-3.357131268873636287e+01
1.690000000000000000e+02,4.081686345320300006e+03,7.994781586605769208e-01,9.237771281530441844e-03,-3.318171463013902667e+01
1.700000000000000000e+02,4.105803348140989328e+03,7.903982787172755264e-01,9.359647247813903531e-03,-3.276792386650420497e+01
1.710000000000000000e+02,4.129627134080699761e+03,7.812876386696984143e-01,9.482489081170565257e-03,-3.232988714491117577e+01
1.720000000000000000e+02,4.153165118824390447e+03,7.721687046224094964e-01,9.606293306731256837e-03,-3.186762550424359119e+01
1.730000000000000000e+02,4.176395007612291010e+03,7.630639372728812431e-01,9.731056049025021970e-03,-3.138108570548506293e+01
1.740000000000000000e+02,4.199309365224454268e+03,7.539957917296239431e-01,9.856773038710251247e-03,-3.087028879601067644e+01
1.750000000000000000e+02,4.221908187500131135e+03,7.450015740328492786e-01,9.983439619970134460e-03,-3.033540439036178427e+01
1.760000000000000000e+02,4.244176719561769460e+03,7.360960809017343953e-01,1.011105075911526534e-02,-2.977637611588857425e+01
1.770000000000000000e+02,4.266108050964305221e+03,7.273155146902847701e-01,1.023960105374833139e-02,-2.919320934169503801e+01
1.780000000000000000e+02,4.287687948577958196e+03,7.186809964320607369e-01,1.036908474291923024e-02,-2.858598057817290439e+01
1.790000000000000000e+02,4.308917038048592076e+03,7.102136406928692969e-01,1.049949571768442336e-02,-2.795469204130855090e+01
1.800000000000000000e+02,4.329788518566713719e+03,7.019494121028816425e-01,1.063082753223022585e-02,-2.729949450038183301e+01
1.810000000000000000e+02,4.350288162681285939e+03,6.939168401405990672e-01,1.076307341524155789e-02,-2.662053870813311462e+01
1.820000000000000000e+02,4.370416601159825404e+03,6.861444473206337324e-01,1.089622628190020648e-02,-2.591790111441200395e+01
1.830000000000000000e+02,4.390167037744042318e+03,6.786533206846606658e-01,1.103027874575757475e-02,-2.519173243031165299e+01
1.840000000000000000e+02,4.409525248954827475e+03,6.714793966968664041e-01,1.116522313075267794e-02,-2.444225762527442569e+01
1.850000000000000000e+02,4.428491868948115552e+03,6.646586043917924735e-01,1.130105148333154959e-02,-2.366940450666026408e+01
1.860000000000000000e+02,4.447052675920664115e+03,6.582120085265519283e-01,1.143775558404488447e-02,-2.287354655182620533e+01
1.870000000000000000e+02,4.465208305321014450e+03,6.521688373229637126e-01,1.157532695946066059e-02,-2.205476007012830308e+01
1.880000000000000000e+02,4.482951964613384916e+03,6.465679679989114748e-01,1.171375689320005263e-02,-2.121334418443727543e+01
1.890000000000000000e+02,4.500269433098404988e+03,6.414393557583769612e-01,1.185303643681700526e-02,-2.034944941059428913e+01
1.900000000000000000e+02,4.517161346792102449e+03,6.368159190225499700e-01,1.199315641994115958e-02,-1.946337478835852863e+01
1.910000000000000000e+02,4.533620913212170308e+03,6.327283394601809219e-01,1.213410746005447009e-02,-1.855541931130827393e+01
1.920000000000000000e+02,4.549633911225004340e+03,6.292102617138835008e-01,1.227587997125872445e-02,-1.762565907320762904e+01
1.930000000000000000e+02,4.565193547604409105e+03,6.262938362763222910e-01,1.241846417257063719e-02,-1.667439296586367803e+01
1.940000000000000000e+02,4.580307885252206688e+03,6.240134335580053149e-01,1.256185009478653046e-02,-1.570206839243410002e+01
1.950000000000000000e+02,4.594962701330451637e+03,6.224034152790403063e-01,1.270602758824724773e-02,-1.470890984669319579e+01
1.960000000000000000e+02,4.609158628910025072e+03,6.214981343753190890e-01,1.285098632649154735e-02,-1.369536461079452572e+01
1.970000000000000000e+02,4.622896300182039340e+03,6.213334205783044295e-01,1.299671581178689535e-02,-1.266173133447620103e+01
1.980000000000000000e+02,4.636176346384805584e+03,6.219436089921367428e-01,1.314320537881493930e-02,-1.160838288225783188e+01
1.990000000000000000e+02,4.648977112695540200e+03,6.233630256882819465e-01,1.329044419679820468e-02,-1.053561776309834919e+01
2.000000000000000000e+02,4.661314084990528499e+03,6.256259876364002048e-01,1.343842127140694280e-02,-9.443957261044452878e+00
2.010000000000000000e+02,4.673172854337976787e+03,6.287687396124441719e-01,1.358712544508111283e-02,-8.333616952979987502e+00
2.020000000000000000e+02,4.684545717752348537e+03,6.328241225271581394e-01,1.373654539683057639e-02,-7.205149773697020699e+00
2.030000000000000000e+02,4.695409934135675940e+03,6.378261621620219257e-01,1.388666964084147963e-02,-6.058728660502363361e+00
2.040000000000000000e+02,4.705772474728581983e+03,6.438081321614810282e-01,1.403748652419494272e-02,-4.894823595660364290e+00
2.050000000000000000e+02,4.715603167993457646e+03,6.508040396725656151e-01,1.418898422388363730e-02,-3.713830185443399046e+00
2.060000000000000000e+02,4.724908983166550570e+03,6.588463968176030416e-01,1.434115074314212465e-02,-2.516069656691727108e+00
