ell,PP,PT,PE
2.370000000000000000e+02,4.603777034720817325e-08,1.032599594247809365e-04,1.010869397304159931e-07
2.380000000000000000e+02,4.583290380513271854e-08,1.024169872996076998e-04,1.143212307521800891e-07
2.390000000000000000e+02,4.562953068621036310e-08,1.015815758912049378e-04,1.275456020327012504e-07
2.400000000000000000e+02,4.542762296764120776e-08,1.007536825710746695e-04,1.407605378148565349e-07
2.410000000000000000e+02,4.522715816819595041e-08,9.993330102113334691e-05,1.539665644726239746e-07
2.420000000000000000e+02,4.502812987543305806e-08,9.912041280316464338e-05,1.671641947733578787e-07
2.430000000000000000e+02,4.483051559326172452e-08,9.831498784320527400e-05,1.803539200538638334e-07
2.440000000000000000e+02,4.463430875535693696e-08,9.751703111808866439e-05,1.935362941305082436e-07
2.450000000000000000e+02,4.443947108903529221e-08,9.672648956236136171e-05,2.067117607976322996e-07
2.460000000000000000e+02,4.424600654624861603e-08,9.594337944579825418e-05,2.198809013714676161e-07
2.470000000000000000e+02,4.405388225489531604e-08,9.516767083501792535e-05,2.330442053891981476e-07
2.480000000000000000e+02,4.386309155240806735e-08,9.439933417705912789e-05,2.462021560882603104e-07
2.490000000000000000e+02,4.367361210723598570e-08,9.363835138631660987e-05,2.593552611453848699e-07
2.500000000000000000e+02,4.348542682375170945e-08,9.288471539067831031e-05,2.725040604764119296e-07
2.510000000000000000e+02,4.329853006116661671e-08,9.213839837274006021e-05,2.856487214380049584e-07
2.520000000000000000e+02,4.311289025235752025e-08,9.139925809051667428e-05,2.987877964485466045e-07
2.530000000000000000e+02,4.292851800893094203e-08,9.066716485579380199e-05,3.119195577594029792e-07
2.540000000000000000e+02,4.274538315358835134e-08,8.994195667897419738e-05,3.250421684466613648e-07
2.550000000000000000e+02,4.256349613063792585e-08,8.922352514241269181e-05,3.381539796760300464e-07
2.560000000000000000e+02,4.238282694064734675e-08,8.851169789273002247e-05,3.512531116478602248e-07
2.570000000000000000e+02,4.220337587862617889e-08,8.780635563626564108e-05,3.643378819786298205e-07
2.580000000000000000e+02,4.202514307328691521e-08,8.710735778346702894e-05,3.774065313863555023e-07
2.590000000000000000e+02,4.184809878753987765e-08,8.641455352433121838e-05,3.904572544492186381e-07
2.600000000000000000e+02,4.167225305708353102e-08,8.572781271654355986e-05,4.034883353438788765e-07
2.610000000000000000e+02,4.149757631680346047e-08,8.504698475184853152e-05,4.164979658308326815e-07
2.620000000000000000e+02,4.132407844271260102e-08,8.437194936365799533e-05,4.294844843558200305e-07
2.630000000000000000e+02,4.115173003937896882e-08,8.370252613982607603e-05,4.424459271381504285e-07
2.640000000000000000e+02,4.098053112830360849e-08,8.303861469185831355e-05,4.553807377765277962e-07
2.650000000000000000e+02,4.081047191528448722e-08,8.238004503794571108e-05,4.682869959720383589e-07
2.660000000000000000e+02,4.064154741743366410e-08,8.172669658588956618e-05,4.811630483723653657e-07
2.670000000000000000e+02,4.047373820892678254e-08,8.107842891980990567e-05,4.940071368453128365e-07
2.680000000000000000e+02,4.030703933203214488e-08,8.043509210758033648e-05,5.068174432823904319e-07
2.690000000000000000e+02,4.014143150345682631e-08,7.979654599738146873e-05,5.195922052091476423e-07
2.700000000000000000e+02,3.997692398028617189e-08,7.916265983713298340e-05,5.323297233811365604e-07
2.710000000000000000e+02,3.981348802286500320e-08,7.853327466095239018e-05,5.450281108576484708e-07
2.720000000000000000e+02,3.965112335428034958e-08,7.790826905760781798e-05,5.576857332373738823e-07
2.730000000000000000e+02,3.948983422021987586e-08,7.728750271403955242e-05,5.703008330130036719e-07
2.740000000000000000e+02,3.932957344423789888e-08,7.667080806421671844e-05,5.828714454447594559e-07
2.750000000000000000e+02,3.917036398901219886e-08,7.605809056938614735e-05,5.953961527663957965e-07
2.760000000000000000e+02,3.901218674143006607e-08,7.544917374870468920e-05,6.078729183525707410e-07
2.770000000000000000e+02,3.885502274010312409e-08,7.484392665829451934e-05,6.203000497173402203e-07
2.780000000000000000e+02,3.869887607423752916e-08,7.424220927775717726e-05,6.326757853735451639e-07
2.790000000000000000e+02,3.854372780504991133e-08,7.364389033211959327e-05,6.449984404140133175e-07
2.800000000000000000e+02,3.838956368575752137e-08,7.304881229308905679e-05,6.572661020525144580e-07
2.810000000000000000e+02,3.823639217262997825e-08,7.245685257433759775e-05,6.694771635000407808e-07
2.820000000000000000e+02,3.808418537279688339e-08,7.186786247698731176e-05,6.816297871648504171e-07
2.830000000000000000e+02,3.793294711289979656e-08,7.128170204685758927e-05,6.937222120259615841e-07
2.840000000000000000e+02,3.778264970095598661e-08,7.069823134225285599e-05,7.057526771527953730e-07
