ell,TT_locked,EE_locked,BB_locked,TE_locked,TT_control,EE_control,BB_control,TE_control
149.0,3553.001977654628,0.9435437556539183,0.007004816508572573,-36.52313354619515,4131.443004980661,1.0472832933008391,0.006736607159316556,-43.61923052700081
150.0,3580.9702780306266,0.9390535832783584,0.00710727008981424,-36.56841937794265,4162.7032680954435,1.0429319293586194,0.006834560410029583,-43.66588811721532
151.0,3608.80950632572,0.9342011258956275,0.007210675421931707,-36.592678966302074,4193.759960378843,1.03816480225874,0.006933426717178308,-43.68964835257204
152.0,3636.527212015383,0.9289942696934238,0.007315036553491661,-36.59564016115512,4224.62065007101,1.0329890662907664,0.0070332104957745835,-43.69022852196605
153.0,3664.108468399932,0.9234481197693225,0.007420357256262739,-36.57702627067732,4255.27046848638,1.0274191812299964,0.007133915896823758,-43.66734335361946
154.0,3691.553207687181,0.9175777793355449,0.0075266410085074575,-36.53670922301036,4285.709405688492,1.0214696052076555,0.007235546790334067,-43.62085619874064
155.0,3718.853936101991,0.9113834928406768,0.007633890978881648,-36.47433814659687,4315.930025565226,1.0151399378315835,0.007338106748900066,-43.5504076117025
156.0,3746.01801908896,0.9048877875410437,0.007742110011431483,-36.38978506898511,4345.939750999152,1.0084520617560087,0.007441599032359514,-43.4558610486904
157.0,3773.0231113532463,0.8980909032178401,0.007851300611343657,-36.282773497052496,4375.71629387823,1.001405572396502,0.007546026573176323,-43.336931447770255
158.0,3799.876583794005,0.8910227904458803,0.007961464931836356,-36.153101265199936,4405.267082001644,0.9940297761959828,0.007651391962941678,-43.193408076929515
159.0,3826.5635251720814,0.8836836836069478,0.008072604762457566,-36.000566249490525,4434.577260722627,0.9863242636347501,0.007757697440252174,-43.025080248065514
160.0,3853.076455617396,0.8760960991569382,0.008184721517343226,-35.82504064875181,4463.63940643396,0.9783109074937318,0.007864944878529923,-42.83181159794179
161.0,3879.3930416705616,0.8682751220379428,0.008297816226017229,-35.626248131630035,4492.431241590853,0.9700041492621171,0.007973135776360375,-42.613317235101135
162.0,3905.5058097614574,0.8602358338414163,0.008411889524825305,-35.4041352516298,4520.9453481741075,0.9614184272955127,0.008082271248446838,-42.36953515477014
163.0,3931.4072895707286,0.8520081693211665,0.008526941649484131,-35.158351460092526,4549.174311039689,0.9525830333233852,0.008192352017658593,-42.10010625170912
164.0,3957.075157375181,0.8435923461032935,0.008642972429580457,-34.888917655186525,4577.095861255763,0.9434975421529315,0.008303378409008688,-41.80504286908104
165.0,3982.5093778283544,0.8350108629500687,0.008759981283489418,-34.595557627826466,4604.710017878554,0.9341838099263788,0.008415350344046207,-41.4840602442579
166.0,4007.695062221723,0.8262862145202186,0.008877967215692404,-34.27821804360966,4632.001946212536,0.9246636888742088,0.008528267337628886,-41.13709649065256
167.0,4032.6247535308216,0.8174408911812345,0.008996928814312244,-33.93677130620399,4658.964242859258,0.9149590271199584,0.008642128494900233,-40.764015461011
168.0,4057.290998043308,0.80849737882102,0.009116864250983821,-33.57131268873636,4685.589507351784,0.9050916684839232,0.008756932510597854,-40.36490387871491
169.0,4081.6863453203,0.7994781586605769,0.00923777128153045,-33.18171463013903,4711.870342126058,0.8950834522875069,0.00887267766915865,-39.9396256340514
170.0,4105.803348140988,0.7903982787172755,0.009359647247813874,-32.767923866504205,4737.799352479079,0.884948784807791,0.008989361845993653,-39.4881189155012
171.0,4129.6271340807,0.7812876386696984,0.009482489081170564,-32.32988714491117,4763.36171816395,0.8747169241333472,0.009106982510349785,-39.010321923509146
172.0,4153.16511882439,0.7721687046224096,0.009606293306731257,-31.86762550424359,4788.564906723675,0.8644096949196841,0.009225536729052134,-38.50624715125473
173.0,4176.395007612291,0.7630639372728812,0.009731056049025027,-31.381085705485063,4813.386674960168,0.8540489165466076,0.009345021171531251,-37.975832814911
174.0,4199.309365224454,0.7539957917296238,0.009856773038710263,-30.87028879601068,4837.8196389451,0.8436564029265574,0.009465432115990272,-37.41909141790868
175.0,4221.908187500131,0.7450015740328493,0.009983439619970131,-30.335404390361784,4861.86384556822,0.8332688190153168,0.009586765456235321,-36.836184031693136
176.0,4244.1767195617695,0.7360960809017344,0.010111050759115257,-29.77637611588857,4885.504616049201,0.8229004190630179,0.009709016709728348,-36.2270475021562
177.0,4266.108050964305,0.7273155146902847,0.010239601053748316,-29.19320934169504,4908.7352168898315,0.8125872571013208,0.009832181026209513,-35.59168746097554
178.0,4287.687948577958,0.7186809964320607,0.010369084742919232,-28.585980578172904,4931.5416170227545,0.8023504044364356,0.00995625319731976,-34.930182442761
179.0,4308.917038048592,0.7102136406928693,0.010499495717684416,-27.95469204130855,4953.924644052228,0.7922109259777581,0.010081227666655153,-34.242536688577886
180.0,4329.788518566714,0.7019494121028816,0.010630827532230228,-27.299494500381837,4975.877699061198,0.7822047367598104,0.010207098540386716,-33.528902993666975
